Size, Seq, Par, Libc
587354, 0.118887, 0.062197, 0.121924
25129, 0.003866, 0.062956, 0.004004
998963, 0.208822, 0.078438, 0.227548
911509, 0.193890, 0.077064, 0.199389
3629, 0.000485, 0.033435, 0.000496
199460, 0.037541, 0.085087, 0.039527
5719, 0.000770, 0.039499, 0.000791
107009, 0.020527, 0.048506, 0.020306
929606, 0.195630, 0.072325, 0.204091
644244, 0.129255, 0.078426, 0.135483
145370, 0.026016, 0.074088, 0.027225
344030, 0.066985, 0.068743, 0.074419
60273, 0.010449, 0.067324, 0.010951
124297, 0.023647, 0.081606, 0.026294
918382, 0.198010, 0.078745, 0.201561
858999, 0.179131, 0.073425, 0.191781
766806, 0.155246, 0.074704, 0.165396
577708, 0.114019, 0.087961, 0.121550
676071, 0.137000, 0.083852, 0.141896
370564, 0.072539, 0.060276, 0.080260
958005, 0.197237, 0.084762, 0.218053
291920, 0.055510, 0.049576, 0.057850
130174, 0.023145, 0.067483, 0.026369
241448, 0.052387, 0.064283, 0.050368
727884, 0.146824, 0.082291, 0.153526
532913, 0.104560, 0.080233, 0.108358
404484, 0.077121, 0.055209, 0.081059
671614, 0.134501, 0.074806, 0.147214
112487, 0.019625, 0.041614, 0.021584
945864, 0.194443, 0.080638, 0.205034
19417, 0.002998, 0.063173, 0.003126
285009, 0.055700, 0.056282, 0.059721
304923, 0.063041, 0.056675, 0.060699
581083, 0.114494, 0.080744, 0.122156
210701, 0.039144, 0.055037, 0.040225
901926, 0.185617, 0.085600, 0.198019
88145, 0.015196, 0.076695, 0.016467
738530, 0.149940, 0.079870, 0.156121
126106, 0.022313, 0.072029, 0.024281
281813, 0.059849, 0.055023, 0.059340
47885, 0.008324, 0.058439, 0.008350
722246, 0.154246, 0.063640, 0.158648
541559, 0.109864, 0.080308, 0.117162
723654, 0.144797, 0.092145, 0.158803
352763, 0.067479, 0.081592, 0.075796
165950, 0.030922, 0.066833, 0.031017
567003, 0.114615, 0.072586, 0.125300
